bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
0,1507.57,750,1925,14,2020-04,Marlborough,01752,39663,83469
1,1037.0,550,1600,10,2020-04,Marlborough,01752,39663,83469
2,1737.73,1300,2700,22,2020-04,Marlborough,01752,39663,83469
3,2142.06,1650,2600,17,2020-04,Marlborough,01752,39663,83469
4,2583.33,2300,2950,3,2020-04,Marlborough,01752,39663,83469
5,2600.0,2600,2600,1,2020-04,Marlborough,01752,39663,83469
0,1498.5,750,2227,14,2020-05,Marlborough,01752,39663,83469
1,1067.0,550,1600,10,2020-05,Marlborough,01752,39663,83469
2,1740.0,1450,2375,20,2020-05,Marlborough,01752,39663,83469
3,2110.36,1600,2600,14,2020-05,Marlborough,01752,39663,83469
4,3320.0,2300,4850,5,2020-05,Marlborough,01752,39663,83469
5,3550.0,2600,4500,2,2020-05,Marlborough,01752,39663,83469
0,1450.93,695,2197,15,2020-06,Marlborough,01752,39663,83469
1,1105.0,550,1600,13,2020-06,Marlborough,01752,39663,83469
2,1810.0,1400,2535,22,2020-06,Marlborough,01752,39663,83469
3,2165.31,1600,2800,16,2020-06,Marlborough,01752,39663,83469
4,3085.71,2300,4850,7,2020-06,Marlborough,01752,39663,83469
5,3550.0,2600,4500,2,2020-06,Marlborough,01752,39663,83469
0,1396.56,675,2130,16,2020-07,Marlborough,01752,39663,83469
1,1211.88,550,1675,16,2020-07,Marlborough,01752,39663,83469
2,1831.28,1350,2755,29,2020-07,Marlborough,01752,39663,83469
3,2276.25,1600,2900,16,2020-07,Marlborough,01752,39663,83469
4,3035.71,2400,4850,7,2020-07,Marlborough,01752,39663,83469
5,3550.0,2600,4500,2,2020-07,Marlborough,01752,39663,83469
0,1412.8,675,1930,15,2020-08,Marlborough,01752,39663,83469
1,1303.33,550,1950,21,2020-08,Marlborough,01752,39663,83469
2,1805.93,1350,2755,45,2020-08,Marlborough,01752,39663,83469
3,2380.28,1600,2900,18,2020-08,Marlborough,01752,39663,83469
4,3143.75,2400,4850,8,2020-08,Marlborough,01752,39663,83469
5,4500.0,4500,4500,1,2020-08,Marlborough,01752,39663,83469
0,1471.59,675,2155,17,2020-09,Marlborough,01752,39663,83469
1,1307.5,550,1950,34,2020-09,Marlborough,01752,39663,83469
2,1794.02,1350,2755,54,2020-09,Marlborough,01752,39663,83469
3,2464.17,1600,2900,18,2020-09,Marlborough,01752,39663,83469
4,2514.29,1300,3900,7,2020-09,Marlborough,01752,39663,83469
5,4850.0,4850,4850,1,2020-09,Marlborough,01752,39663,83469
0,1415.59,675,2110,17,2020-10,Marlborough,01752,39663,83469
1,1312.79,550,1950,34,2020-10,Marlborough,01752,39663,83469
2,1839.07,1350,3000,57,2020-10,Marlborough,01752,39663,83469
3,2402.78,1600,2900,18,2020-10,Marlborough,01752,39663,83469
4,2520.0,1300,3900,5,2020-10,Marlborough,01752,39663,83469
5,4175.0,3500,4850,2,2020-10,Marlborough,01752,39663,83469
0,1532.33,975,2050,15,2020-11,Marlborough,01752,39663,83469
1,1342.27,550,1950,33,2020-11,Marlborough,01752,39663,83469
2,1805.18,1350,3000,56,2020-11,Marlborough,01752,39663,83469
3,2456.58,1800,2950,19,2020-11,Marlborough,01752,39663,83469
4,2533.33,1300,3900,3,2020-11,Marlborough,01752,39663,83469
5,4175.0,3500,4850,2,2020-11,Marlborough,01752,39663,83469
0,1551.43,975,2050,14,2020-12,Marlborough,01752,39663,83469
1,1366.62,695,1950,34,2020-12,Marlborough,01752,39663,83469
2,1784.68,1350,3000,62,2020-12,Marlborough,01752,39663,83469
3,2381.94,1800,2950,18,2020-12,Marlborough,01752,39663,83469
4,1300.0,1300,1300,1,2020-12,Marlborough,01752,39663,83469
5,4425.0,4000,4850,2,2020-12,Marlborough,01752,39663,83469
0,1539.17,975,1983,12,2021-01,Marlborough,01752,39663,83469
1,1346.88,695,1655,24,2021-01,Marlborough,01752,39663,83469
2,1789.36,1350,3000,55,2021-01,Marlborough,01752,39663,83469
3,2335.0,1800,2950,14,2021-01,Marlborough,01752,39663,83469
4,1300.0,1300,1300,1,2021-01,Marlborough,01752,39663,83469
5,4425.0,4000,4850,2,2021-01,Marlborough,01752,39663,83469
0,1533.86,500,2585,14,2021-02,Marlborough,01752,39663,83469
1,1312.83,695,1900,23,2021-02,Marlborough,01752,39663,83469
2,1759.18,1350,2535,57,2021-02,Marlborough,01752,39663,83469
3,2367.89,1800,3300,19,2021-02,Marlborough,01752,39663,83469
4,1847.5,1300,2395,2,2021-02,Marlborough,01752,39663,83469
5,4425.0,4000,4850,2,2021-02,Marlborough,01752,39663,83469
0,1496.6,500,2585,15,2021-03,Marlborough,01752,39663,83469
1,1301.82,695,1900,22,2021-03,Marlborough,01752,39663,83469
2,1744.85,1350,2300,47,2021-03,Marlborough,01752,39663,83469
3,2390.31,1800,3300,16,2021-03,Marlborough,01752,39663,83469
4,1847.5,1300,2395,2,2021-03,Marlborough,01752,39663,83469
5,4000.0,4000,4000,1,2021-03,Marlborough,01752,39663,83469
6,7000.0,7000,7000,1,2021-03,Marlborough,01752,39663,83469
0,1540.69,500,2725,13,2021-04,Marlborough,01752,39663,83469
1,1251.0,695,1900,15,2021-04,Marlborough,01752,39663,83469
2,1725.82,1350,2300,28,2021-04,Marlborough,01752,39663,83469
3,2427.22,1800,3300,9,2021-04,Marlborough,01752,39663,83469
4,3147.5,2395,3900,2,2021-04,Marlborough,01752,39663,83469
5,4000.0,4000,4000,1,2021-04,Marlborough,01752,39663,83469
6,7000.0,7000,7000,1,2021-04,Marlborough,01752,39663,83469
0,1436.54,500,2132,13,2021-05,Marlborough,01752,39663,83469
1,1307.38,695,2028,16,2021-05,Marlborough,01752,39663,83469
2,1725.82,1350,2300,28,2021-05,Marlborough,01752,39663,83469
3,2361.88,1800,3300,8,2021-05,Marlborough,01752,39663,83469
4,3147.5,2395,3900,2,2021-05,Marlborough,01752,39663,83469
5,4000.0,4000,4000,1,2021-05,Marlborough,01752,39663,83469
6,7000.0,7000,7000,1,2021-05,Marlborough,01752,39663,83469
0,1422.8,500,2110,15,2021-06,Marlborough,01752,39663,83469
1,1310.19,695,2028,16,2021-06,Marlborough,01752,39663,83469
2,1734.5,1400,2300,24,2021-06,Marlborough,01752,39663,83469
3,2212.0,1425,3300,10,2021-06,Marlborough,01752,39663,83469
4,5431.67,2395,10000,3,2021-06,Marlborough,01752,39663,83469
5,4000.0,4000,4000,1,2021-06,Marlborough,01752,39663,83469
6,7000.0,7000,7000,1,2021-06,Marlborough,01752,39663,83469
0,1647.33,800,2223,15,2021-11,Marlborough,01752,39663,83469
1,2206.3,1150,3753,92,2021-11,Marlborough,01752,39663,83469
2,2671.74,1500,3517,87,2021-11,Marlborough,01752,39663,83469
3,2724.0,1700,3865,9,2021-11,Marlborough,01752,39663,83469
4,4760.0,2800,10000,5,2021-11,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-11,Marlborough,01752,39663,83469
0,1748.5,800,2285,12,2021-12,Marlborough,01752,39663,83469
1,2186.69,800,3753,114,2021-12,Marlborough,01752,39663,83469
2,2778.56,1500,3870,107,2021-12,Marlborough,01752,39663,83469
3,2734.89,1300,3948,9,2021-12,Marlborough,01752,39663,83469
4,4760.0,2800,10000,5,2021-12,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-12,Marlborough,01752,39663,83469
0,1577.44,800,2230,16,2021-10,Marlborough,01752,39663,83469
1,2147.82,800,3753,113,2021-10,Marlborough,01752,39663,83469
2,2695.88,1500,3870,108,2021-10,Marlborough,01752,39663,83469
3,2470.06,1300,3930,16,2021-10,Marlborough,01752,39663,83469
4,4716.67,2800,10000,6,2021-10,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-10,Marlborough,01752,39663,83469
7,15000.0,15000,15000,1,2021-10,Marlborough,01752,39663,83469
0,1577.44,800,2230,16,2021-09,Marlborough,01752,39663,83469
1,2140.39,800,3753,114,2021-09,Marlborough,01752,39663,83469
2,2675.73,1500,3870,110,2021-09,Marlborough,01752,39663,83469
3,2470.06,1300,3930,16,2021-09,Marlborough,01752,39663,83469
4,4716.67,2800,10000,6,2021-09,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-09,Marlborough,01752,39663,83469
7,15000.0,15000,15000,1,2021-09,Marlborough,01752,39663,83469
0,1578.38,800,2230,16,2021-08,Marlborough,01752,39663,83469
1,2133.73,800,3753,115,2021-08,Marlborough,01752,39663,83469
2,2675.73,1500,3870,110,2021-08,Marlborough,01752,39663,83469
3,2489.47,1300,3930,17,2021-08,Marlborough,01752,39663,83469
4,4716.67,2800,10000,6,2021-08,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-08,Marlborough,01752,39663,83469
7,15000.0,15000,15000,1,2021-08,Marlborough,01752,39663,83469
0,1578.38,800,2230,16,2021-07,Marlborough,01752,39663,83469
1,2118.06,800,3753,118,2021-07,Marlborough,01752,39663,83469
2,2665.44,1500,3870,111,2021-07,Marlborough,01752,39663,83469
3,2490.53,1300,3948,17,2021-07,Marlborough,01752,39663,83469
4,4600.0,2800,10000,7,2021-07,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2021-07,Marlborough,01752,39663,83469
7,15000.0,15000,15000,1,2021-07,Marlborough,01752,39663,83469
0,1824.17,1250,2405,12,2022-01,Marlborough,01752,39663,83469
1,2252.69,1125,3753,128,2022-01,Marlborough,01752,39663,83469
2,2741.39,1250,4602,135,2022-01,Marlborough,01752,39663,83469
3,2730.0,1300,4144,11,2022-01,Marlborough,01752,39663,83469
4,4200.0,2700,10000,7,2022-01,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2022-01,Marlborough,01752,39663,83469
0,1654.12,1050,2448,17,2022-02,Marlborough,01752,39663,83469
1,2184.14,1125,3753,166,2022-02,Marlborough,01752,39663,83469
2,2720.72,1250,4602,179,2022-02,Marlborough,01752,39663,83469
3,2780.42,1300,4714,12,2022-02,Marlborough,01752,39663,83469
4,4092.86,2700,10000,7,2022-02,Marlborough,01752,39663,83469
5,3625.0,3300,3950,2,2022-02,Marlborough,01752,39663,83469
0,1617.48,1050,2547,21,2022-03,Marlborough,01752,39663,83469
1,2156.1,1100,3475,181,2022-03,Marlborough,01752,39663,83469
2,2729.18,1250,4602,206,2022-03,Marlborough,01752,39663,83469
3,2798.88,1300,5000,16,2022-03,Marlborough,01752,39663,83469
4,3212.5,2700,4500,4,2022-03,Marlborough,01752,39663,83469
5,3950.0,3950,3950,1,2022-03,Marlborough,01752,39663,83469
0,1525.71,775,2420,21,2022-04,Marlborough,01752,39663,83469
1,2111.14,1100,3325,190,2022-04,Marlborough,01752,39663,83469
2,2719.95,1250,4602,219,2022-04,Marlborough,01752,39663,83469
3,3017.76,1300,6075,21,2022-04,Marlborough,01752,39663,83469
4,3158.33,2500,4500,6,2022-04,Marlborough,01752,39663,83469
0,1470.62,775,2536,26,2022-05,Marlborough,01752,39663,83469
1,2137.71,1100,3325,240,2022-05,Marlborough,01752,39663,83469
2,2788.0,1250,4565,281,2022-05,Marlborough,01752,39663,83469
3,2996.12,1550,5000,26,2022-05,Marlborough,01752,39663,83469
4,2887.5,2500,3600,4,2022-05,Marlborough,01752,39663,83469
6,6990.0,6990,6990,1,2022-05,Marlborough,01752,39663,83469
0,1449.79,775,2375,29,2022-06,Marlborough,01752,39663,83469
1,2189.01,1100,3325,244,2022-06,Marlborough,01752,39663,83469
2,2810.28,1395,4811,299,2022-06,Marlborough,01752,39663,83469
3,2942.97,1550,5000,29,2022-06,Marlborough,01752,39663,83469
4,2950.0,2500,3600,3,2022-06,Marlborough,01752,39663,83469
6,6590.0,6590,6590,1,2022-06,Marlborough,01752,39663,83469
0,1460.35,775,2371,26,2022-07,Marlborough,01752,39663,83469
1,2216.82,1100,3246,257,2022-07,Marlborough,01752,39663,83469
2,2880.22,1395,4811,300,2022-07,Marlborough,01752,39663,83469
3,3079.18,1550,5500,28,2022-07,Marlborough,01752,39663,83469
4,2950.0,2500,3600,3,2022-07,Marlborough,01752,39663,83469
6,6590.0,6590,6590,1,2022-07,Marlborough,01752,39663,83469
0,1497.92,775,2371,25,2022-08,Marlborough,01752,39663,83469
1,2229.03,1295,3230,240,2022-08,Marlborough,01752,39663,83469
2,2852.83,1395,4811,302,2022-08,Marlborough,01752,39663,83469
3,3129.09,1550,5500,23,2022-08,Marlborough,01752,39663,83469
6,6590.0,6590,6590,1,2022-08,Marlborough,01752,39663,83469
0,1502.36,850,2371,28,2022-09,Marlborough,01752,39663,83469
1,2338.55,1295,4110,257,2022-09,Marlborough,01752,39663,83469
