bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
1,806.0,750,862,2,2020-04,Springfield,01104,23150,40884
2,1076.25,900,1225,12,2020-04,Springfield,01104,23150,40884
3,1201.36,975,1550,11,2020-04,Springfield,01104,23150,40884
4,1450.0,1450,1450,1,2020-04,Springfield,01104,23150,40884
1,835.67,750,895,3,2020-05,Springfield,01104,23150,40884
2,1101.67,900,1300,12,2020-05,Springfield,01104,23150,40884
3,1157.22,975,1300,9,2020-05,Springfield,01104,23150,40884
4,1450.0,1450,1450,1,2020-05,Springfield,01104,23150,40884
1,835.67,750,895,3,2020-06,Springfield,01104,23150,40884
2,1109.5,950,1300,10,2020-06,Springfield,01104,23150,40884
3,1183.18,975,1300,11,2020-06,Springfield,01104,23150,40884
4,1225.0,1000,1450,2,2020-06,Springfield,01104,23150,40884
1,878.5,862,895,2,2020-07,Springfield,01104,23150,40884
2,1110.56,950,1300,9,2020-07,Springfield,01104,23150,40884
3,1220.0,1000,1300,12,2020-07,Springfield,01104,23150,40884
4,1225.0,1000,1450,2,2020-07,Springfield,01104,23150,40884
1,878.5,862,895,2,2020-08,Springfield,01104,23150,40884
2,1142.5,950,1325,4,2020-08,Springfield,01104,23150,40884
3,1289.0,1195,1395,10,2020-08,Springfield,01104,23150,40884
4,1225.0,1000,1450,2,2020-08,Springfield,01104,23150,40884
1,878.5,862,895,2,2020-09,Springfield,01104,23150,40884
2,1462.5,1325,1600,2,2020-09,Springfield,01104,23150,40884
3,1313.57,1300,1395,7,2020-09,Springfield,01104,23150,40884
4,1225.0,1000,1450,2,2020-09,Springfield,01104,23150,40884
0,725.0,725,725,1,2020-10,Springfield,01104,23150,40884
1,878.5,862,895,2,2020-10,Springfield,01104,23150,40884
2,1462.5,1325,1600,2,2020-10,Springfield,01104,23150,40884
3,1280.63,1100,1395,8,2020-10,Springfield,01104,23150,40884
0,725.0,725,725,1,2020-11,Springfield,01104,23150,40884
1,878.5,862,895,2,2020-11,Springfield,01104,23150,40884
