bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
0,1858.33,1655,2195,3,2020-04,Waltham,02452,15636,99747
1,1621.43,1400,2500,7,2020-04,Waltham,02452,15636,99747
2,2251.47,1800,3300,17,2020-04,Waltham,02452,15636,99747
3,2860.0,2500,3200,5,2020-04,Waltham,02452,15636,99747
4,5100.0,3400,6000,4,2020-04,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-04,Waltham,02452,15636,99747
0,1943.33,1770,2165,3,2020-05,Waltham,02452,15636,99747
1,1750.0,1450,2300,3,2020-05,Waltham,02452,15636,99747
2,2098.33,1850,3100,15,2020-05,Waltham,02452,15636,99747
3,2800.0,2500,3200,8,2020-05,Waltham,02452,15636,99747
4,5100.0,3400,6000,4,2020-05,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2020-05,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-05,Waltham,02452,15636,99747
0,1843.67,1580,2251,3,2020-06,Waltham,02452,15636,99747
1,1650.0,1450,2000,3,2020-06,Waltham,02452,15636,99747
2,2230.56,1800,3800,18,2020-06,Waltham,02452,15636,99747
3,2766.67,2500,3200,9,2020-06,Waltham,02452,15636,99747
4,5380.0,3400,6000,5,2020-06,Waltham,02452,15636,99747
5,5500.0,5500,5500,1,2020-06,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-06,Waltham,02452,15636,99747
0,1890.33,1610,2326,3,2020-07,Waltham,02452,15636,99747
1,1633.33,1500,1800,3,2020-07,Waltham,02452,15636,99747
2,2195.24,1800,3800,21,2020-07,Waltham,02452,15636,99747
3,3004.17,2500,3600,12,2020-07,Waltham,02452,15636,99747
4,5016.67,3200,6000,6,2020-07,Waltham,02452,15636,99747
5,6000.0,6000,6000,1,2020-07,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-07,Waltham,02452,15636,99747
0,1669.33,1550,1878,3,2020-08,Waltham,02452,15636,99747
1,1962.5,1600,2500,6,2020-08,Waltham,02452,15636,99747
2,2123.33,1750,3800,30,2020-08,Waltham,02452,15636,99747
3,3055.0,2500,3600,10,2020-08,Waltham,02452,15636,99747
4,4850.0,3200,6000,6,2020-08,Waltham,02452,15636,99747
5,6000.0,6000,6000,1,2020-08,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-08,Waltham,02452,15636,99747
0,1747.33,1475,2085,3,2020-09,Waltham,02452,15636,99747
1,1778.18,1500,2400,11,2020-09,Waltham,02452,15636,99747
2,2126.94,1750,3800,31,2020-09,Waltham,02452,15636,99747
3,3222.73,2500,5500,11,2020-09,Waltham,02452,15636,99747
4,5140.0,3200,6000,5,2020-09,Waltham,02452,15636,99747
5,6000.0,6000,6000,1,2020-09,Waltham,02452,15636,99747
6,5500.0,5500,5500,1,2020-09,Waltham,02452,15636,99747
0,1633.0,1465,1806,3,2020-10,Waltham,02452,15636,99747
1,1720.71,1455,2300,14,2020-10,Waltham,02452,15636,99747
2,2038.23,1750,2650,31,2020-10,Waltham,02452,15636,99747
3,3157.69,2500,5500,13,2020-10,Waltham,02452,15636,99747
4,5050.0,3200,6000,4,2020-10,Waltham,02452,15636,99747
5,6000.0,6000,6000,1,2020-10,Waltham,02452,15636,99747
0,1621.0,1465,1825,3,2020-11,Waltham,02452,15636,99747
1,1702.06,1400,2300,17,2020-11,Waltham,02452,15636,99747
2,2038.97,1750,2650,29,2020-11,Waltham,02452,15636,99747
3,3131.82,2500,5500,11,2020-11,Waltham,02452,15636,99747
4,5000.0,5000,5000,1,2020-11,Waltham,02452,15636,99747
5,6200.0,6200,6200,1,2020-11,Waltham,02452,15636,99747
0,1808.0,1520,2009,3,2020-12,Waltham,02452,15636,99747
1,1688.82,1400,2300,17,2020-12,Waltham,02452,15636,99747
2,2013.39,1700,2650,28,2020-12,Waltham,02452,15636,99747
3,3150.0,2500,5500,8,2020-12,Waltham,02452,15636,99747
4,4650.0,4300,5000,2,2020-12,Waltham,02452,15636,99747
5,6200.0,6200,6200,1,2020-12,Waltham,02452,15636,99747
0,1808.0,1520,2009,3,2021-01,Waltham,02452,15636,99747
1,1671.33,1400,2300,15,2021-01,Waltham,02452,15636,99747
2,1968.75,1700,2350,20,2021-01,Waltham,02452,15636,99747
3,3150.0,2500,5500,8,2021-01,Waltham,02452,15636,99747
4,4300.0,4300,4300,1,2021-01,Waltham,02452,15636,99747
5,5575.0,4950,6200,2,2021-01,Waltham,02452,15636,99747
0,1681.33,1495,1841,3,2021-02,Waltham,02452,15636,99747
1,1674.76,1200,2300,21,2021-02,Waltham,02452,15636,99747
2,1942.38,1650,2300,21,2021-02,Waltham,02452,15636,99747
3,2860.0,2600,3100,5,2021-02,Waltham,02452,15636,99747
4,5200.0,4300,6000,3,2021-02,Waltham,02452,15636,99747
5,5550.0,4950,6200,3,2021-02,Waltham,02452,15636,99747
0,1767.33,1510,1974,3,2021-03,Waltham,02452,15636,99747
1,1648.53,1200,2250,17,2021-03,Waltham,02452,15636,99747
2,1890.31,1650,2300,16,2021-03,Waltham,02452,15636,99747
3,2860.0,2600,3100,5,2021-03,Waltham,02452,15636,99747
4,5200.0,4300,6000,3,2021-03,Waltham,02452,15636,99747
5,5550.0,4950,6200,3,2021-03,Waltham,02452,15636,99747
0,1951.0,1735,2335,3,2021-04,Waltham,02452,15636,99747
1,1663.64,1200,2250,11,2021-04,Waltham,02452,15636,99747
2,1897.5,1650,2300,10,2021-04,Waltham,02452,15636,99747
3,2633.33,2400,2900,3,2021-04,Waltham,02452,15636,99747
4,5650.0,5300,6000,2,2021-04,Waltham,02452,15636,99747
5,5225.0,4950,5500,2,2021-04,Waltham,02452,15636,99747
0,1838.33,1642,2143,3,2021-05,Waltham,02452,15636,99747
1,1733.33,1200,2500,12,2021-05,Waltham,02452,15636,99747
2,1897.5,1650,2300,10,2021-05,Waltham,02452,15636,99747
3,2633.33,2400,2900,3,2021-05,Waltham,02452,15636,99747
4,5650.0,5300,6000,2,2021-05,Waltham,02452,15636,99747
5,5225.0,4950,5500,2,2021-05,Waltham,02452,15636,99747
6,4800.0,4800,4800,1,2021-05,Waltham,02452,15636,99747
0,1901.67,1595,2468,3,2021-06,Waltham,02452,15636,99747
1,1715.38,1200,2500,13,2021-06,Waltham,02452,15636,99747
2,1927.08,1700,2300,12,2021-06,Waltham,02452,15636,99747
3,2633.33,2400,2900,3,2021-06,Waltham,02452,15636,99747
4,5650.0,5300,6000,2,2021-06,Waltham,02452,15636,99747
5,5650.0,4950,6500,3,2021-06,Waltham,02452,15636,99747
6,4800.0,4800,4800,1,2021-06,Waltham,02452,15636,99747
0,2051.33,1642,2442,3,2021-11,Waltham,02452,15636,99747
