bedrooms,averageRent,minRent,maxRent,totalRentals,date,city,zip,population,median household income
0,1203.33,750,1585,3,2020-04,Worcester,01605,27587,42683
1,1065.0,900,1200,6,2020-04,Worcester,01605,27587,42683
2,1334.72,1100,2100,18,2020-04,Worcester,01605,27587,42683
3,1882.14,1100,3250,28,2020-04,Worcester,01605,27587,42683
4,1800.0,1500,2400,3,2020-04,Worcester,01605,27587,42683
6,1800.0,600,3000,2,2020-04,Worcester,01605,27587,42683
0,1248.33,750,1670,3,2020-05,Worcester,01605,27587,42683
1,1161.25,900,1800,8,2020-05,Worcester,01605,27587,42683
2,1333.93,1100,1800,14,2020-05,Worcester,01605,27587,42683
3,1921.15,1100,3250,26,2020-05,Worcester,01605,27587,42683
4,1811.25,1450,2400,4,2020-05,Worcester,01605,27587,42683
6,1800.0,600,3000,2,2020-05,Worcester,01605,27587,42683
0,1271.67,750,1790,3,2020-06,Worcester,01605,27587,42683
1,1191.43,900,1800,7,2020-06,Worcester,01605,27587,42683
2,1314.29,1100,1750,14,2020-06,Worcester,01605,27587,42683
3,1912.96,1100,3250,27,2020-06,Worcester,01605,27587,42683
4,1811.25,1450,2400,4,2020-06,Worcester,01605,27587,42683
6,1800.0,600,3000,2,2020-06,Worcester,01605,27587,42683
0,1243.33,750,1705,3,2020-07,Worcester,01605,27587,42683
1,1240.0,995,1800,6,2020-07,Worcester,01605,27587,42683
2,1305.0,1100,1750,15,2020-07,Worcester,01605,27587,42683
3,1892.86,1100,3250,28,2020-07,Worcester,01605,27587,42683
4,1811.25,1450,2400,4,2020-07,Worcester,01605,27587,42683
6,600.0,600,600,1,2020-07,Worcester,01605,27587,42683
0,1243.33,750,1705,3,2020-08,Worcester,01605,27587,42683
1,1333.33,1100,1800,6,2020-08,Worcester,01605,27587,42683
2,1297.94,1100,1750,17,2020-08,Worcester,01605,27587,42683
3,1562.5,1100,1800,12,2020-08,Worcester,01605,27587,42683
4,1915.0,1450,2400,3,2020-08,Worcester,01605,27587,42683
0,1620.0,1325,1915,2,2020-09,Worcester,01605,27587,42683
1,1220.0,1000,1500,5,2020-09,Worcester,01605,27587,42683
2,1342.06,1200,2000,17,2020-09,Worcester,01605,27587,42683
3,1550.0,1100,1800,10,2020-09,Worcester,01605,27587,42683
4,2400.0,2400,2400,1,2020-09,Worcester,01605,27587,42683
0,1527.5,1325,1730,2,2020-10,Worcester,01605,27587,42683
1,1187.5,1000,1500,4,2020-10,Worcester,01605,27587,42683
2,1432.37,1200,2000,19,2020-10,Worcester,01605,27587,42683
3,1714.29,1350,2800,7,2020-10,Worcester,01605,27587,42683
4,2795.0,2795,2795,1,2020-10,Worcester,01605,27587,42683
0,1482.5,1325,1640,2,2020-11,Worcester,01605,27587,42683
1,1125.0,975,1500,5,2020-11,Worcester,01605,27587,42683
2,1463.25,1200,2100,20,2020-11,Worcester,01605,27587,42683
3,1737.5,1350,2800,6,2020-11,Worcester,01605,27587,42683
4,2795.0,2795,2795,1,2020-11,Worcester,01605,27587,42683
0,1465.0,1325,1605,2,2020-12,Worcester,01605,27587,42683
1,991.67,975,1000,3,2020-12,Worcester,01605,27587,42683
2,1469.44,1200,2100,18,2020-12,Worcester,01605,27587,42683
3,1736.88,1295,2800,8,2020-12,Worcester,01605,27587,42683
4,2297.5,1800,2795,2,2020-12,Worcester,01605,27587,42683
0,1477.5,1325,1630,2,2021-01,Worcester,01605,27587,42683
1,991.67,975,1000,3,2021-01,Worcester,01605,27587,42683
2,1547.86,1200,2295,14,2021-01,Worcester,01605,27587,42683
3,1736.88,1295,2800,8,2021-01,Worcester,01605,27587,42683
4,2297.5,1800,2795,2,2021-01,Worcester,01605,27587,42683
0,1465.0,1325,1605,2,2021-02,Worcester,01605,27587,42683
1,1150.0,975,1475,5,2021-02,Worcester,01605,27587,42683
2,1551.67,1200,2295,12,2021-02,Worcester,01605,27587,42683
3,1728.04,1295,2800,23,2021-02,Worcester,01605,27587,42683
4,1800.0,1800,1800,1,2021-02,Worcester,01605,27587,42683
0,1475.0,1325,1625,2,2021-03,Worcester,01605,27587,42683
1,1200.0,1000,1450,3,2021-03,Worcester,01605,27587,42683
2,1472.86,1200,2295,14,2021-03,Worcester,01605,27587,42683
3,1693.23,1295,2800,31,2021-03,Worcester,01605,27587,42683
4,2150.0,1800,2500,2,2021-03,Worcester,01605,27587,42683
6,3200.0,3200,3200,2,2021-03,Worcester,01605,27587,42683
0,1535.0,1325,1745,2,2021-04,Worcester,01605,27587,42683
1,1205.0,1100,1375,5,2021-04,Worcester,01605,27587,42683
2,1412.0,1200,2295,10,2021-04,Worcester,01605,27587,42683
3,1676.61,1350,2650,28,2021-04,Worcester,01605,27587,42683
4,2150.0,1800,2500,2,2021-04,Worcester,01605,27587,42683
6,2366.67,700,3200,3,2021-04,Worcester,01605,27587,42683
0,1602.5,1325,1880,2,2021-05,Worcester,01605,27587,42683
1,1190.0,1100,1300,5,2021-05,Worcester,01605,27587,42683
2,1321.67,1200,1500,15,2021-05,Worcester,01605,27587,42683
3,1698.17,1350,2650,30,2021-05,Worcester,01605,27587,42683
4,2150.0,1800,2500,2,2021-05,Worcester,01605,27587,42683
6,1950.0,700,3200,4,2021-05,Worcester,01605,27587,42683
0,1692.5,1325,2060,2,2021-06,Worcester,01605,27587,42683
1,1158.33,1000,1300,6,2021-06,Worcester,01605,27587,42683
2,1319.12,1200,1500,17,2021-06,Worcester,01605,27587,42683
3,1715.97,1350,2650,31,2021-06,Worcester,01605,27587,42683
4,2150.0,1800,2500,2,2021-06,Worcester,01605,27587,42683
6,1950.0,700,3200,4,2021-06,Worcester,01605,27587,42683
0,2130.0,1325,3000,3,2021-11,Worcester,01605,27587,42683
1,1258.33,1175,1300,3,2021-11,Worcester,01605,27587,42683
2,1525.63,900,2000,24,2021-11,Worcester,01605,27587,42683
3,1966.36,1350,3500,22,2021-11,Worcester,01605,27587,42683
4,2237.5,1700,3200,4,2021-11,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-11,Worcester,01605,27587,42683
0,2160.0,1325,3000,3,2021-12,Worcester,01605,27587,42683
1,1266.67,1200,1300,3,2021-12,Worcester,01605,27587,42683
2,1475.68,900,2000,22,2021-12,Worcester,01605,27587,42683
3,1956.09,1350,3500,23,2021-12,Worcester,01605,27587,42683
4,2237.5,1700,3200,4,2021-12,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-12,Worcester,01605,27587,42683
0,2185.0,1325,3000,3,2021-10,Worcester,01605,27587,42683
1,1178.57,950,1300,7,2021-10,Worcester,01605,27587,42683
2,1489.86,900,2000,35,2021-10,Worcester,01605,27587,42683
3,1909.47,1350,3500,38,2021-10,Worcester,01605,27587,42683
4,2414.29,1700,3200,7,2021-10,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-10,Worcester,01605,27587,42683
6,700.0,700,700,1,2021-10,Worcester,01605,27587,42683
0,2185.0,1325,3000,3,2021-09,Worcester,01605,27587,42683
1,1193.75,950,1300,8,2021-09,Worcester,01605,27587,42683
2,1482.3,900,2000,37,2021-09,Worcester,01605,27587,42683
3,1902.75,1350,3500,40,2021-09,Worcester,01605,27587,42683
4,2414.29,1700,3200,7,2021-09,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-09,Worcester,01605,27587,42683
6,700.0,700,700,1,2021-09,Worcester,01605,27587,42683
0,2185.0,1325,3000,3,2021-08,Worcester,01605,27587,42683
1,1183.33,950,1300,9,2021-08,Worcester,01605,27587,42683
2,1469.88,900,2000,40,2021-08,Worcester,01605,27587,42683
3,1886.89,1350,3500,45,2021-08,Worcester,01605,27587,42683
4,2414.29,1700,3200,7,2021-08,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-08,Worcester,01605,27587,42683
6,2366.67,700,3200,3,2021-08,Worcester,01605,27587,42683
0,2185.0,1325,3000,3,2021-07,Worcester,01605,27587,42683
1,1183.33,950,1300,9,2021-07,Worcester,01605,27587,42683
2,1455.57,900,2000,44,2021-07,Worcester,01605,27587,42683
3,1849.2,1350,3500,56,2021-07,Worcester,01605,27587,42683
4,2414.29,1700,3200,7,2021-07,Worcester,01605,27587,42683
5,2000.0,2000,2000,1,2021-07,Worcester,01605,27587,42683
6,1950.0,700,3200,4,2021-07,Worcester,01605,27587,42683
0,2145.0,1325,3000,3,2022-01,Worcester,01605,27587,42683
1,1266.67,1200,1300,3,2022-01,Worcester,01605,27587,42683
2,1474.52,900,1900,21,2022-01,Worcester,01605,27587,42683
3,1999.58,1350,3500,24,2022-01,Worcester,01605,27587,42683
